,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
213,['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop'],,,,,,,,,,,,,,,,
214,[],,,,,,,,,,,,,,,,,,,,
215,[],,,,,,,,,,,,,,,,,,,,
216,['indiecoustica', 'modern rock', 'neo mellow', 'piano rock', 'pop rock'],,,,,,,,,,,,,,,,
217,['acid house', 'atmospheric dnb', 'drum and bass', 'madchester', 'techno'],,,,,,,,,,,,,,,,
218,[],,,,,,,,,,,,,,,,,,,,
219,['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup'],,,,,,,,,,,,,,,
220,['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house'],,,,,,,,,,,,,,
221,[],,,,,,,,,,,,,,,,,,,,
222,['dusseldorf electronic'],,,,,,,,,,,,,,,,,,,,
223,['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock'],,,,,,,,,,,,,,
224,['metalcore', 'pixie', 'post-screamo', 'screamo'],,,,,,,,,,,,,,,,,
225,['boogie', 'disco', 'funk', 'post-disco'],,,,,,,,,,,,,,,,,
226,['bubblegum dance', 'europop'],,,,,,,,,,,,,,,,,,,
227,[],,,,,,,,,,,,,,,,,,,,
228,[],,,,,,,,,,,,,,,,,,,,
229,['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap'],,,,,,,,,,,,
230,['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop'],,,,,,,,,,,,,,,
231,['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap'],,,,,,,,,,,,,,,,
232,['east coast hip hop', 'hip hop', 'rap', 'trap'],,,,,,,,,,,,,,,,,
233,['bubblegum dance', 'dance pop', 'europop'],,,,,,,,,,,,,,,,,,
234,['c-pop', 'mandopop'],,,,,,,,,,,,,,,,,,,
235,['banda', 'corrido', 'nuevo regional mexicano', 'ranchera', 'regional mexican'],,,,,,,,,,,,,,,,
236,[],,,,,,,,,,,,,,,,,,,,
237,[],,,,,,,,,,,,,,,,,,,,
238,['lithuanian folk'],,,,,,,,,,,,,,,,,,,,
239,['broadway', 'show tunes', 'west end'],,,,,,,,,,,,,,,,,,
240,[],,,,,,,,,,,,,,,,,,,,
241,['deep indian pop', 'filmi'],,,,,,,,,,,,,,,,,,,
242,[],,,,,,,,,,,,,,,,,,,,
243,[],,,,,,,,,,,,,,,,,,,,
244,[],,,,,,,,,,,,,,,,,,,,
245,[],,,,,,,,,,,,,,,,,,,,
246,[],,,,,,,,,,,,,,,,,,,,
247,['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla'],,,,,,,,,,,,,,,,,
248,[],,,,,,,,,,,,,,,,,,,,
249,[],,,,,,,,,,,,,,,,,,,,
250,[],,,,,,,,,,,,,,,,,,,,
251,['dirty texas rap'],,,,,,,,,,,,,,,,,,,,
252,[],,,,,,,,,,,,,,,,,,,,
253,[],,,,,,,,,,,,,,,,,,,,
254,[],,,,,,,,,,,,,,,,,,,,
255,[],,,,,,,,,,,,,,,,,,,,
256,['dream pop', 'shoegaze'],,,,,,,,,,,,,,,,,,,
257,['desi pop', 'filmi', 'modern bollywood', 'sufi'],,,,,,,,,,,,,,,,,
258,[],,,,,,,,,,,,,,,,,,,,
259,[],,,,,,,,,,,,,,,,,,,,
260,['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'uplifting trance'],,,,,,,,,,,,,,,,
261,[],,,,,,,,,,,,,,,,,,,,
262,[],,,,,,,,,,,,,,,,,,,,
263,['scandipop'],,,,,,,,,,,,,,,,,,,,
264,['japanese alternative rock', 'japanese electropop', 'japanese r&b'],,,,,,,,,,,,,,,,,,
265,['k-pop', 'k-pop boy group'],,,,,,,,,,,,,,,,,,,
266,['europop', 'swedish pop'],,,,,,,,,,,,,,,,,,,
267,"[""preschool children's music""]",,,,,,,,,,,,,,,,,,,,
268,[],,,,,,,,,,,,,,,,,,,,
269,[],,,,,,,,,,,,,,,,,,,,
270,['indie cafe pop', 'indie pop', 'pop'],,,,,,,,,,,,,,,,,,
271,['future bass'],,,,,,,,,,,,,,,,,,,,
272,[],,,,,,,,,,,,,,,,,,,,
273,['album rock', 'australian rock', 'hard rock', 'rock'],,,,,,,,,,,,,,,,,
274,['meme rap'],,,,,,,,,,,,,,,,,,,,
275,['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary'],,,,,,,,,,,,,,,,
276,[],,,,,,,,,,,,,,,,,,,,
277,['emo', 'pop punk', 'punk', 'screamo', 'skate punk'],,,,,,,,,,,,,,,,
278,[],,,,,,,,,,,,,,,,,,,,
279,[],,,,,,,,,,,,,,,,,,,,
280,[],,,,,,,,,,,,,,,,,,,,
281,[],,,,,,,,,,,,,,,,,,,,
282,['electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop'],,,,,,,,,,,,,,,,
283,['opm', 'viral pop'],,,,,,,,,,,,,,,,,,,
284,['acoustic punk', 'anti-folk', 'folk punk'],,,,,,,,,,,,,,,,,,
285,['modern rock'],,,,,,,,,,,,,,,,,,,,
286,['serbian hip hop'],,,,,,,,,,,,,,,,,,,,
287,[],,,,,,,,,,,,,,,,,,,,
288,[],,,,,,,,,,,,,,,,,,,,
289,['j-rap'],,,,,,,,,,,,,,,,,,,,
290,[],,,,,,,,,,,,,,,,,,,,
291,[],,,,,,,,,,,,,,,,,,,,
292,['melodic metalcore', 'metalcore', 'trancecore', 'uk metalcore'],,,,,,,,,,,,,,,,,
293,['neo soul', 'pop', 'r&b', 'urban contemporary'],,,,,,,,,,,,,,,,,
294,['cali rap', 'hyphy', 'k-rap', 'west coast trap'],,,,,,,,,,,,,,,,,
295,['pop soul', 'r&b'],,,,,,,,,,,,,,,,,,,
296,['edm', 'progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance'],,,,,,,,,,,,,,,
297,[],,,,,,,,,,,,,,,,,,,,
298,[],,,,,,,,,,,,,,,,,,,,
299,[],,,,,,,,,,,,,,,,,,,,
300,[],,,,,,,,,,,,,,,,,,,,
301,[],,,,,,,,,,,,,,,,,,,,
302,['scottish new wave'],,,,,,,,,,,,,,,,,,,,
303,['pop edm', 'sky room'],,,,,,,,,,,,,,,,,,,
304,['classic opm', 'opm'],,,,,,,,,,,,,,,,,,,
305,['english indie rock', 'kent indie'],,,,,,,,,,,,,,,,,,,
306,[],,,,,,,,,,,,,,,,,,,,
307,['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance'],,,,,,,,,
308,[],,,,,,,,,,,,,,,,,,,,
309,['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk'],,,,,,,,,,,,,,
310,['deep big room', 'pop edm', 'russian dance'],,,,,,,,,,,,,,,,,,
311,['disco house', 'german dance', 'german techno', 'german trance', 'trance'],,,,,,,,,,,,,,,,
312,[],,,,,,,,,,,,,,,,,,,,
313,[],,,,,,,,,,,,,,,,,,,,
314,['la pop', 'r&b'],,,,,,,,,,,,,,,,,,,
315,['art pop', 'norwegian pop'],,,,,,,,,,,,,,,,,,,
316,['karadeniz halk muzigi', 'turkish pop', 'turkish trap pop'],,,,,,,,,,,,,,,,,,
317,[],,,,,,,,,,,,,,,,,,,,
318,['progressive house', 'progressive trance', 'trance'],,,,,,,,,,,,,,,,,,
319,['abstract hip hop'],,,,,,,,,,,,,,,,,,,,
320,['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop'],,,,,,,,,,,,,,
321,['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop'],,,,,,,,,,,,,,
322,['modern bollywood'],,,,,,,,,,,,,,,,,,,,
323,[],,,,,,,,,,,,,,,,,,,,
324,['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary'],,,,,,,,,,,,,
325,[],,,,,,,,,,,,,,,,,,,,
326,[],,,,,,,,,,,,,,,,,,,,
327,['ghoststep'],,,,,,,,,,,,,,,,,,,,
328,['dance pop', 'post-teen pop'],,,,,,,,,,,,,,,,,,,
329,['american modern classical', 'classical', 'early modern classical'],,,,,,,,,,,,,,,,,,
330,['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary'],,,,,,,,,,,,,,,,
331,[],,,,,,,,,,,,,,,,,,,,
332,['c-pop', 'cantopop', 'classic cantopop', 'classic mandopop'],,,,,,,,,,,,,,,,,
333,['contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'redneck'],,,,,,,,,,,,,,,
334,[],,,,,,,,,,,,,,,,,,,,
335,['rap', 'underground hip hop'],,,,,,,,,,,,,,,,,,,
336,['soul'],,,,,,,,,,,,,,,,,,,,
337,[],,,,,,,,,,,,,,,,,,,,
338,['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship'],,,,,,,,,,,,,,
339,['chicago house'],,,,,,,,,,,,,,,,,,,,
340,['country', 'country road', 'country rock', 'redneck'],,,,,,,,,,,,,,,,,
341,['broadway', 'hollywood', 'show tunes'],,,,,,,,,,,,,,,,,,
342,['contemporary country', 'country', 'country road', 'modern country rock', 'texas country'],,,,,,,,,,,,,,,,
343,['cumbia sonidera', 'ranchera', 'regional mexican'],,,,,,,,,,,,,,,,,,
344,['classic bollywood', 'filmi'],,,,,,,,,,,,,,,,,,,
345,[],,,,,,,,,,,,,,,,,,,,
346,['suomisaundi'],,,,,,,,,,,,,,,,,,,,
347,['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop'],,,,,,,,,,,,,,,
348,['christian rock', 'dreamo'],,,,,,,,,,,,,,,,,,,
349,[],,,,,,,,,,,,,,,,,,,,
350,['vocal jazz'],,,,,,,,,,,,,,,,,,,,
351,['contemporary country', 'country pop'],,,,,,,,,,,,,,,,,,,
352,['contemporary country', 'country pop'],,,,,,,,,,,,,,,,,,,
353,[],,,,,,,,,,,,,,,,,,,,
354,[],,,,,,,,,,,,,,,,,,,,
355,['arab folk', 'classic arab pop'],,,,,,,,,,,,,,,,,,,
356,['dance pop', 'europop', 'new wave pop', 'soft rock', 'urban contemporary'],,,,,,,,,,,,,,,,
357,[],,,,,,,,,,,,,,,,,,,,
358,[],,,,,,,,,,,,,,,,,,,,
359,[],,,,,,,,,,,,,,,,,,,,
360,[],,,,,,,,,,,,,,,,,,,,
361,[],,,,,,,,,,,,,,,,,,,,
362,[],,,,,,,,,,,,,,,,,,,,
363,[],,,,,,,,,,,,,,,,,,,,
364,['latin christian', 'latin worship'],,,,,,,,,,,,,,,,,,,
365,[],,,,,,,,,,,,,,,,,,,,
366,[],,,,,,,,,,,,,,,,,,,,
367,['desi hip hop', 'vapor soul'],,,,,,,,,,,,,,,,,,,
368,[],,,,,,,,,,,,,,,,,,,,
369,[],,,,,,,,,,,,,,,,,,,,
370,[],,,,,,,,,,,,,,,,,,,,
371,[],,,,,,,,,,,,,,,,,,,,
372,[],,,,,,,,,,,,,,,,,,,,
373,['italian techno'],,,,,,,,,,,,,,,,,,,,
374,[],,,,,,,,,,,,,,,,,,,,
375,[],,,,,,,,,,,,,,,,,,,,
376,['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance'],,,,,,,,,,,,,,,,
377,['g funk', 'gangster rap', 'hip hop', 'hyphy', 'west coast rap'],,,,,,,,,,,,,,,,
